Points_Magnitude,c
0.07425,0.00980446
0.0745,0.00980953
0.07475,0.00981459
0.075,0.00981965
0.07525,0.00982472
0.0755,0.00982978
0.07575,0.00983485
0.076,0.00983991
0.07625,0.00984497
0.0765,0.00985004
0.07675,0.0098551
0.077,0.00986017
0.07725,0.00986523
0.0775,0.0098703
0.07775,0.00987536
0.078,0.00988042
0.07825,0.00988549
0.0785,0.00989055
0.07875,0.00989562
0.079,0.00990068
0.07925,0.00990574
0.0795,0.00991081
0.07975,0.00991587
0.08,0.00992094
0.08025,0.009926
0.0805,0.00993106
0.08075,0.00993613
0.081,0.00994119
0.08125,0.00994626
0.0815,0.00995132
0.08175,0.00995638
0.082,0.00996145
0.08225,0.00996651
0.0825,0.00997158
0.08275,0.00997664
0.083,0.0099817
0.08325,0.00998677
0.0835,0.00999183
0.08375,0.0099969
0.084,0.010002
0.08425,0.010007
0.0845,0.0100121
0.08475,0.0100172
0.085,0.0100222
0.08525,0.0100273
0.0855,0.0100323
0.08575,0.0100374
0.086,0.0100425
0.08625,0.0100475
0.0865,0.0100526
0.08675,0.0100577
0.087,0.0100627
0.08725,0.0100678
0.0875,0.0100729
0.08775,0.0100779
0.088,0.010083
0.08825,0.0100881
0.0885,0.0100931
0.08875,0.0100982
0.089,0.0101032
0.08925,0.0101083
0.0895,0.0101134
0.08975,0.0101184
0.09,0.0101235
0.09025,0.0101286
0.0905,0.0101336
0.09075,0.0101387
0.091,0.0101438
0.09125,0.0101488
0.0915,0.0101539
0.09175,0.0101589
0.092,0.010164
0.09225,0.0101691
0.0925,0.0101741
0.09275,0.0101792
0.093,0.0101843
0.09325,0.0101893
0.0935,0.0101944
0.09375,0.0101995
0.094,0.0102045
0.09425,0.0102096
0.0945,0.0102147
0.09475,0.0102197
0.095,0.0102248
0.09525,0.0102298
0.0955,0.0102349
0.09575,0.01024
0.096,0.010245
0.09625,0.0102501
0.0965,0.0102552
0.09675,0.0102602
0.097,0.0102653
0.09725,0.0102704
0.0975,0.0102754
0.09775,0.0102805
0.098,0.0102855
0.09825,0.0102906
0.0985,0.0102957
0.09875,0.0103007
0.099,0.0103058
0.09925,0.0103109
0.0995,0.0103159
0.09975,0.010321
0.1,0.0103261
0.10025,0.0103311
0.1005,0.0103362
0.10075,0.0103413
0.101,0.0103463
0.10125,0.0103514
0.1015,0.0103564
