Points_Magnitude,c
0,0.931929
0.00025,0.931947
0.0005,0.931964
0.00075,0.931982
0.001,0.932
0.00125,0.932017
0.0015,0.932035
0.00175,0.932052
0.002,0.93207
0.00225,0.932088
0.0025,0.932111
0.00275,0.932129
0.003,0.932147
0.00325,0.932166
0.0035,0.932184
0.00375,0.932202
0.004,0.93222
0.00425,0.932238
0.0045,0.932257
0.00475,0.932275
0.005,0.932293
0.00525,0.932311
0.0055,0.932329
0.00575,0.932347
0.006,0.932366
0.00625,0.932384
0.0065,0.932402
0.00675,0.93242
0.007,0.932438
0.00725,0.932457
0.0075,0.932475
0.00775,0.932493
0.008,0.932511
0.00825,0.932529
0.0085,0.932548
0.00875,0.932566
0.009,0.932584
0.00925,0.932602
0.0095,0.93262
0.00975,0.932639
0.01,0.932657
0.01025,0.932675
0.0105,0.932693
0.01075,0.932711
0.011,0.93273
0.01125,0.932748
0.0115,0.932766
0.01175,0.932784
0.012,0.932802
0.01225,0.93282
0.0125,0.932839
0.01275,0.932857
0.013,0.932875
0.01325,0.932893
0.0135,0.932911
0.01375,0.93293
0.014,0.932948
0.01425,0.932966
0.0145,0.932984
0.01475,0.933002
0.015,0.933021
0.01525,0.933039
0.0155,0.933057
0.01575,0.933075
0.016,0.933093
0.01625,0.933112
0.0165,0.93313
0.01675,0.933148
0.017,0.933166
0.01725,0.933184
0.0175,0.933203
0.01775,0.933221
0.018,0.933239
0.01825,0.933257
0.0185,0.933275
0.01875,0.933293
0.019,0.933312
0.01925,0.93333
0.0195,0.933348
0.01975,0.933366
0.02,0.933384
0.02025,0.933403
0.0205,0.933421
0.02075,0.933439
0.021,0.933457
0.02125,0.933475
0.0215,0.933494
0.02175,0.933512
0.022,0.93353
0.02225,0.933548
0.0225,0.933566
0.02275,0.933585
0.023,0.933603
0.02325,0.933621
0.0235,0.933639
0.02375,0.933657
0.024,0.933675
0.02425,0.933694
0.0245,0.933712
0.02475,0.93373
0.025,0.933748
0.02525,0.933766
0.0255,0.933785
0.02575,0.933803
0.026,0.933821
0.02625,0.933839
0.0265,0.933857
0.02675,0.933876
0.027,0.933894
0.02725,0.933912
0.0275,0.93393
0.02775,0.933948
0.028,0.933967
0.02825,0.933985
0.0285,0.934003
0.02875,0.934021
0.029,0.934039
0.02925,0.934058
0.0295,0.934076
0.02975,0.934094
0.03,0.934112
0.03025,0.93413
0.0305,0.934148
0.03075,0.934167
0.031,0.934185
0.03125,0.934203
0.0315,0.934221
0.03175,0.934239
0.032,0.934258
0.03225,0.934276
0.0325,0.934294
0.03275,0.934312
0.033,0.93433
0.03325,0.934349
0.0335,0.934367
0.03375,0.934385
0.034,0.934403
0.03425,0.934421
0.0345,0.93444
0.03475,0.934458
0.035,0.934476
0.03525,0.934494
0.0355,0.934512
0.03575,0.934531
0.036,0.934549
0.03625,0.934567
0.0365,0.934585
0.03675,0.934603
0.037,0.934621
0.03725,0.93464
0.0375,0.934658
0.03775,0.934676
0.038,0.934694
0.03825,0.934712
0.0385,0.934731
0.03875,0.934749
0.039,0.934767
0.03925,0.934785
0.0395,0.934803
0.03975,0.934822
0.04,0.93484
0.04025,0.934858
0.0405,0.934876
0.04075,0.934894
0.041,0.934913
0.04125,0.934931
0.0415,0.934949
0.04175,0.934967
0.042,0.934985
0.04225,0.935004
0.0425,0.935022
0.04275,0.93504
0.043,0.935058
0.04325,0.935076
0.0435,0.935094
0.04375,0.935113
0.044,0.935131
0.04425,0.935149
0.0445,0.935167
0.04475,0.935185
0.045,0.935204
0.04525,0.935222
0.0455,0.93524
0.04575,0.935258
0.046,0.935276
0.04625,0.935295
0.0465,0.935313
0.04675,0.935331
0.047,0.935349
0.04725,0.935367
0.0475,0.935386
0.04775,0.935404
0.048,0.935422
0.04825,0.93544
0.0485,0.935458
0.04875,0.935476
0.049,0.935495
0.04925,0.935513
0.0495,0.935531
0.04975,0.935549
0.05,0.935567
0.05025,0.935586
0.0505,0.935604
0.05075,0.935622
0.051,0.93564
0.05125,0.935658
0.0515,0.935677
0.05175,0.935695
0.052,0.935713
0.05225,0.935731
0.0525,0.935749
0.05275,0.935768
0.053,0.935786
0.05325,0.935804
0.0535,0.935822
0.05375,0.93584
0.054,0.935859
0.05425,0.935877
0.0545,0.935895
0.05475,0.935913
0.055,0.935931
0.05525,0.935949
0.0555,0.935968
0.05575,0.935986
0.056,0.936004
0.05625,0.936022
0.0565,0.93604
0.05675,0.936059
0.057,0.936077
0.05725,0.936095
0.0575,0.936113
0.05775,0.936131
0.058,0.93615
0.05825,0.936168
0.0585,0.936186
0.05875,0.936204
0.059,0.936222
0.05925,0.936241
0.0595,0.936259
0.05975,0.936277
0.06,0.936295
0.06025,0.936313
0.0605,0.936332
0.06075,0.93635
0.061,0.936368
0.06125,0.936386
0.0615,0.936404
0.06175,0.936422
0.062,0.936441
0.06225,0.936459
0.0625,0.936477
0.06275,0.936495
0.063,0.936513
0.06325,0.936532
0.0635,0.93655
0.06375,0.936568
0.064,0.936586
0.06425,0.936604
0.0645,0.936623
0.06475,0.936641
0.065,0.936659
0.06525,0.936677
0.0655,0.936695
0.06575,0.936714
0.066,0.936732
0.06625,0.93675
0.0665,0.936768
0.06675,0.936786
0.067,0.936805
0.06725,0.936823
0.0675,0.936841
0.06775,0.936859
0.068,0.936877
0.06825,0.936895
0.0685,0.936914
0.06875,0.936932
0.069,0.93695
0.06925,0.936968
0.0695,0.936986
0.06975,0.937005
0.07,0.937023
0.07025,0.937041
0.0705,0.937059
0.07075,0.937077
0.071,0.937096
0.07125,0.937114
0.0715,0.937132
0.07175,0.93715
0.072,0.937168
0.07225,0.937187
0.0725,0.937205
0.07275,0.937223
0.073,0.937241
0.07325,0.937259
0.0735,0.937278
0.07375,0.937296
0.074,0.937314
0.07425,0.937332
0.0745,0.93735
0.07475,0.937368
0.075,0.937387
0.07525,0.937405
0.0755,0.937423
0.07575,0.937441
0.076,0.937459
0.07625,0.937478
0.0765,0.937496
0.07675,0.937514
0.077,0.937532
0.07725,0.93755
0.0775,0.937569
0.07775,0.937587
0.078,0.937605
0.07825,0.937623
0.0785,0.937641
0.07875,0.93766
0.079,0.937678
0.07925,0.937696
0.0795,0.937714
0.07975,0.937732
0.08,0.93775
0.08025,0.937769
0.0805,0.937787
0.08075,0.937805
0.081,0.937823
0.08125,0.937841
0.0815,0.93786
0.08175,0.937878
0.082,0.937896
0.08225,0.937914
0.0825,0.937932
0.08275,0.937951
0.083,0.937969
0.08325,0.937987
0.0835,0.938005
0.08375,0.938023
