Points_Magnitude,c
0,0.129813
0.00025,0.129874
0.0005,0.129934
0.00075,0.129995
0.001,0.130056
0.00125,0.130117
0.0015,0.130177
0.00175,0.130238
0.002,0.130299
0.00225,0.13036
0.0025,0.13042
0.00275,0.130481
0.003,0.130542
0.00325,0.130603
0.0035,0.130664
0.00375,0.130724
0.004,0.130785
0.00425,0.130846
0.0045,0.130907
0.00475,0.130967
0.005,0.131028
0.00525,0.131089
0.0055,0.13115
0.00575,0.13121
0.006,0.131271
0.00625,0.131332
0.0065,0.131393
0.00675,0.131453
0.007,0.131514
0.00725,0.131575
0.0075,0.131636
0.00775,0.131697
0.008,0.131757
0.00825,0.131818
0.0085,0.131879
0.00875,0.13194
0.009,0.132
0.00925,0.132061
0.0095,0.132122
0.00975,0.132183
0.01,0.132243
0.01025,0.132304
0.0105,0.132365
0.01075,0.132426
0.011,0.132486
0.01125,0.132547
0.0115,0.132608
0.01175,0.132669
0.012,0.13273
0.01225,0.13279
0.0125,0.132851
0.01275,0.132912
0.013,0.132973
0.01325,0.133033
0.0135,0.133094
0.01375,0.133155
0.014,0.133216
0.01425,0.133276
0.0145,0.133337
0.01475,0.133398
0.015,0.133459
0.01525,0.133519
0.0155,0.13358
0.01575,0.133641
0.016,0.133702
0.01625,0.133762
0.0165,0.133823
0.01675,0.133884
0.017,0.133945
0.01725,0.134006
0.0175,0.134066
0.01775,0.134127
0.018,0.134188
0.01825,0.134249
0.0185,0.134309
0.01875,0.13437
0.019,0.134431
0.01925,0.134492
0.0195,0.134552
0.01975,0.134613
0.02,0.134674
0.02025,0.134735
0.0205,0.134795
0.02075,0.134856
0.021,0.134917
0.02125,0.134978
0.0215,0.135039
0.02175,0.135099
0.022,0.13516
0.02225,0.135221
0.0225,0.135282
0.02275,0.135342
0.023,0.135403
0.02325,0.135464
0.0235,0.135525
0.02375,0.135585
0.024,0.135646
0.02425,0.135707
0.0245,0.135768
0.02475,0.135828
0.025,0.135889
0.02525,0.13595
0.0255,0.136011
0.02575,0.136072
0.026,0.136132
0.02625,0.136193
0.0265,0.136254
0.02675,0.136315
0.027,0.136375
0.02725,0.136436
0.0275,0.136497
0.02775,0.136558
0.028,0.136618
0.02825,0.136679
0.0285,0.13674
0.02875,0.136801
0.029,0.136861
0.02925,0.136922
0.0295,0.136983
0.02975,0.137044
0.03,0.137105
0.03025,0.137165
0.0305,0.137226
0.03075,0.137287
0.031,0.137348
0.03125,0.137408
0.0315,0.137469
0.03175,0.13753
0.032,0.137591
0.03225,0.137651
0.0325,0.137712
0.03275,0.137773
0.033,0.137834
0.03325,0.137894
0.0335,0.137955
0.03375,0.138016
0.034,0.138077
0.03425,0.138137
0.0345,0.138198
0.03475,0.138259
0.035,0.13832
0.03525,0.138381
0.0355,0.138441
0.03575,0.138502
0.036,0.138563
0.03625,0.138624
0.0365,0.138684
0.03675,0.138745
0.037,0.138806
0.03725,0.138867
0.0375,0.138927
0.03775,0.138988
0.038,0.139049
0.03825,0.13911
0.0385,0.13917
0.03875,0.139231
0.039,0.139292
0.03925,0.139353
0.0395,0.139414
0.03975,0.139474
0.04,0.139535
0.04025,0.139596
0.0405,0.139657
0.04075,0.139717
0.041,0.139778
0.04125,0.139839
0.0415,0.1399
0.04175,0.13996
0.042,0.140021
0.04225,0.140082
0.0425,0.140143
0.04275,0.140203
0.043,0.140264
0.04325,0.140325
0.0435,0.140386
0.04375,0.140447
0.044,0.140507
0.04425,0.140568
0.0445,0.140629
0.04475,0.14069
0.045,0.14075
0.04525,0.140811
0.0455,0.140872
0.04575,0.140933
0.046,0.140993
0.04625,0.141054
0.0465,0.141115
0.04675,0.141176
0.047,0.141236
0.04725,0.141297
0.0475,0.141358
0.04775,0.141419
0.048,0.14148
0.04825,0.14154
0.0485,0.141601
0.04875,0.141662
0.049,0.141723
0.04925,0.141783
0.0495,0.141844
0.04975,0.141905
0.05,0.141966
0.05025,0.142026
0.0505,0.142087
0.05075,0.142148
0.051,0.142209
0.05125,0.142269
0.0515,0.14233
0.05175,0.142391
0.052,0.142452
0.05225,0.142512
0.0525,0.142573
0.05275,0.142634
0.053,0.142695
0.05325,0.142756
0.0535,0.142816
0.05375,0.142877
0.054,0.142938
0.05425,0.142999
0.0545,0.143059
0.05475,0.14312
0.055,0.143181
0.05525,0.143242
0.0555,0.143302
0.05575,0.143363
0.056,0.143424
0.05625,0.143485
0.0565,0.143545
0.05675,0.143606
0.057,0.143667
0.05725,0.143728
0.0575,0.143789
0.05775,0.143849
0.058,0.14391
0.05825,0.143971
0.0585,0.144032
0.05875,0.144092
0.059,0.144153
0.05925,0.144214
0.0595,0.144275
0.05975,0.144335
0.06,0.144396
0.06025,0.144457
0.0605,0.144518
0.06075,0.144578
0.061,0.144639
0.06125,0.1447
0.0615,0.144761
0.06175,0.144822
0.062,0.144882
0.06225,0.144943
0.0625,0.145004
0.06275,0.145065
0.063,0.145125
0.06325,0.145186
0.0635,0.145247
0.06375,0.145308
0.064,0.145368
0.06425,0.145429
0.0645,0.14549
0.06475,0.145551
0.065,0.145611
0.06525,0.145672
0.0655,0.145733
0.06575,0.145794
0.066,0.145855
0.06625,0.145915
0.0665,0.145976
0.06675,0.146037
0.067,0.146098
0.06725,0.146158
0.0675,0.146219
0.06775,0.14628
0.068,0.146341
0.06825,0.146401
0.0685,0.146462
0.06875,0.146523
0.069,0.146584
0.06925,0.146644
0.0695,0.146705
0.06975,0.146766
0.07,0.146827
0.07025,0.146887
0.0705,0.146948
0.07075,0.147009
0.071,0.14707
0.07125,0.147131
0.0715,0.147191
0.07175,0.147252
0.072,0.147313
0.07225,0.147374
0.0725,0.147434
0.07275,0.147495
0.073,0.147556
0.07325,0.147617
0.0735,0.147677
0.07375,0.147738
0.074,0.147799
0.07425,0.14786
0.0745,0.14792
0.07475,0.147981
0.075,0.148042
0.07525,0.148103
0.0755,0.148164
0.07575,0.148224
0.076,0.148285
0.07625,0.148346
0.0765,0.148407
0.07675,0.148467
0.077,0.148528
0.07725,0.148589
0.0775,0.14865
0.07775,0.14871
0.078,0.148771
0.07825,0.148832
0.0785,0.148893
0.07875,0.148953
0.079,0.149014
0.07925,0.149075
0.0795,0.149136
0.07975,0.149197
0.08,0.149257
0.08025,0.149318
0.0805,0.149379
0.08075,0.14944
0.081,0.1495
0.08125,0.149561
0.0815,0.149622
0.08175,0.149683
0.082,0.149743
0.08225,0.149804
0.0825,0.149865
0.08275,0.149926
0.083,0.149986
0.08325,0.150047
0.0835,0.150108
0.08375,0.150169
0.084,0.150229
0.08425,0.15029
0.0845,0.150351
0.08475,0.150412
0.085,0.150473
0.08525,0.150533
0.0855,0.150594
0.08575,0.150655
0.086,0.150716
0.08625,0.150776
0.0865,0.150837
0.08675,0.150898
0.087,0.150959
0.08725,0.151019
0.0875,0.15108
0.08775,0.151141
0.088,0.151202
0.08825,0.151262
0.0885,0.151323
0.08875,0.151384
0.089,0.151445
0.08925,0.151506
0.0895,0.151566
0.08975,0.151627
0.09,0.151688
0.09025,0.151749
0.0905,0.151809
0.09075,0.15187
0.091,0.151931
0.09125,0.151992
0.0915,0.152052
0.09175,0.152113
0.092,0.152174
0.09225,0.152235
0.0925,0.152295
0.09275,0.152356
0.093,0.152417
0.09325,0.152478
0.0935,0.152539
0.09375,0.152599
0.094,0.15266
0.09425,0.152721
0.0945,0.152782
0.09475,0.152842
0.095,0.152903
0.09525,0.152964
0.0955,0.153025
0.09575,0.153085
0.096,0.153146
0.09625,0.153207
0.0965,0.153268
0.09675,0.153328
0.097,0.153389
0.09725,0.15345
0.0975,0.153511
0.09775,0.153572
0.098,0.153632
0.09825,0.153693
0.0985,0.153754
0.09875,0.153815
0.099,0.153875
0.09925,0.153936
0.0995,0.153997
0.09975,0.154058
0.1,0.154118
0.10025,0.154179
0.1005,0.15424
0.10075,0.154301
0.101,0.154361
0.10125,0.154422
0.1015,0.154483
0.10175,0.154544
0.102,0.154604
0.10225,0.154665
0.1025,0.154726
0.10275,0.154787
0.103,0.154848
0.10325,0.154908
0.1035,0.154969
0.10375,0.15503
0.104,0.155091
0.10425,0.155151
0.1045,0.155212
0.10475,0.155273
0.105,0.155334
0.10525,0.155394
0.1055,0.155455
0.10575,0.155519
0.106,0.155594
0.10625,0.155668
0.1065,0.155743
0.10675,0.155817
0.107,0.155891
0.10725,0.155966
0.1075,0.15604
0.10775,0.156114
0.108,0.156189
0.10825,0.156263
0.1085,0.156338
0.10875,0.156412
0.109,0.156486
0.10925,0.156561
0.1095,0.156635
0.10975,0.156709
0.11,0.156784
0.11025,0.156858
0.1105,0.156936
0.11075,0.157024
0.111,0.157112
0.11125,0.1572
0.1115,0.157288
0.11175,0.157376
0.112,0.157464
0.11225,0.157552
0.1125,0.15764
0.11275,0.157728
0.113,0.157816
0.11325,0.157904
0.1135,0.157992
0.11375,0.15808
0.114,0.158168
0.11425,0.158256
0.1145,0.158344
0.11475,0.158432
0.115,0.15852
0.11525,0.158608
0.1155,0.158696
0.11575,0.158784
0.116,0.158872
0.11625,0.15896
0.1165,0.159049
0.11675,0.159137
0.117,0.159225
0.11725,0.159313
0.1175,0.159401
0.11775,0.159489
0.118,0.159577
0.11825,0.159665
0.1185,0.159753
0.11875,0.159841
0.119,0.159929
0.11925,0.160017
0.1195,0.160105
0.11975,0.160193
0.12,0.160281
0.12025,0.160369
0.1205,0.160457
0.12075,0.160545
0.121,0.160633
0.12125,0.160721
0.1215,0.160809
0.12175,0.160897
0.122,0.160985
0.12225,0.161073
0.1225,0.161161
0.12275,0.161249
0.123,0.161337
0.12325,0.161426
0.1235,0.161514
0.12375,0.161602
0.124,0.16169
0.12425,0.161778
0.1245,0.161866
0.12475,0.161954
0.125,0.162042
0.12525,0.16213
0.1255,0.162218
0.12575,0.162306
0.126,0.162394
0.12625,0.162482
0.1265,0.162611
0.12675,0.162802
0.127,0.162992
0.12725,0.163183
0.1275,0.163374
0.12775,0.163565
0.128,0.163756
0.12825,0.163947
0.1285,0.164137
0.12875,0.164328
0.129,0.164519
0.12925,0.16471
0.1295,0.164901
0.12975,0.165092
0.13,0.165283
0.13025,0.165473
0.1305,0.165664
0.13075,0.165855
0.131,0.166046
0.13125,0.166237
0.1315,0.166428
0.13175,0.166619
0.132,0.166809
0.13225,0.167
0.1325,0.167191
0.13275,0.167382
0.133,0.167573
0.13325,0.167764
0.1335,0.167954
0.13375,0.168145
0.134,0.168336
0.13425,0.168527
0.1345,0.168718
0.13475,0.168909
0.135,0.1691
0.13525,0.16929
0.1355,0.169481
0.13575,0.169672
0.136,0.169863
0.13625,0.170054
0.1365,0.170245
0.13675,0.170435
0.137,0.170626
0.13725,0.170817
0.1375,0.171008
0.13775,0.171199
0.138,0.17139
0.13825,0.171581
0.1385,0.171771
0.13875,0.171962
0.139,0.172153
0.13925,0.172344
0.1395,0.172535
0.13975,0.172726
0.14,0.172917
0.14025,0.173107
0.1405,0.173298
0.14075,0.173489
0.141,0.17368
0.14125,0.173871
0.1415,0.174062
0.14175,0.174252
0.142,0.174443
0.14225,0.174634
0.1425,0.174825
0.14275,0.175016
0.143,0.175207
0.14325,0.175398
0.1435,0.175588
0.14375,0.175779
0.144,0.17597
0.14425,0.176161
0.1445,0.176352
0.14475,0.176543
0.145,0.176733
0.14525,0.176924
0.1455,0.177115
0.14575,0.177306
0.146,0.177497
0.14625,0.177688
0.1465,0.177879
0.14675,0.178069
0.147,0.17826
0.14725,0.178451
0.1475,0.178642
0.14775,0.178833
0.148,0.179024
0.14825,0.179215
0.1485,0.179405
0.14875,0.179596
0.149,0.179787
0.14925,0.179978
0.1495,0.180169
0.14975,0.18036
0.15,0.18055
0.15025,0.180741
0.1505,0.180932
0.15075,0.181123
0.151,0.181314
0.15125,0.181505
0.1515,0.181696
0.15175,0.181886
0.152,0.182077
0.15225,0.182268
0.1525,0.182459
0.15275,0.18265
0.153,0.182841
0.15325,0.183032
0.1535,0.183222
0.15375,0.183413
0.154,0.183604
0.15425,0.183795
0.1545,0.183986
0.15475,0.184177
0.155,0.184367
0.15525,0.184558
0.1555,0.184749
0.15575,0.18494
0.156,0.185131
0.15625,0.185322
0.1565,0.185513
0.15675,0.185703
0.157,0.185894
0.15725,0.186085
0.1575,0.186276
0.15775,0.186467
0.158,0.186658
0.15825,0.186848
0.1585,0.187039
0.15875,0.18723
0.159,0.187421
0.15925,0.187612
0.1595,0.187803
0.15975,0.187994
0.16,0.188184
0.16025,0.188375
0.1605,0.188566
0.16075,0.188757
0.161,0.188948
0.16125,0.189139
0.1615,0.18933
0.16175,0.18952
0.162,0.189711
0.16225,0.189902
0.1625,0.190093
0.16275,0.190284
0.163,0.190475
0.16325,0.190665
0.1635,0.190856
0.16375,0.191047
0.164,0.191238
0.16425,0.191429
0.1645,0.19162
0.16475,0.191811
0.165,0.192001
0.16525,0.192192
0.1655,0.192383
0.16575,0.192574
0.166,0.192765
0.16625,0.192956
0.1665,0.193147
0.16675,0.193337
0.167,0.193528
0.16725,0.193719
0.1675,0.19391
0.16775,0.194101
0.168,0.194292
0.16825,0.194482
0.1685,0.194673
0.16875,0.194864
0.169,0.195055
0.16925,0.195246
0.1695,0.195437
0.16975,0.195628
0.17,0.195818
0.17025,0.196009
0.1705,0.1962
0.17075,0.196391
0.171,0.196582
0.17125,0.196773
0.1715,0.196963
0.17175,0.197154
0.172,0.197345
0.17225,0.197536
0.1725,0.197727
0.17275,0.197918
0.173,0.198109
0.17325,0.198299
0.1735,0.19849
0.17375,0.198681
0.174,0.198872
0.17425,0.199063
0.1745,0.199254
0.17475,0.199445
0.175,0.199635
0.17525,0.199826
0.1755,0.200017
0.17575,0.200208
0.176,0.200399
0.17625,0.20059
0.1765,0.20078
0.17675,0.200971
0.177,0.201162
0.17725,0.201353
0.1775,0.201544
0.17775,0.201735
0.178,0.201926
0.17825,0.202116
0.1785,0.202307
0.17875,0.202498
0.179,0.202689
0.17925,0.20288
0.1795,0.203071
0.17975,0.203261
0.18,0.203452
0.18025,0.203643
0.1805,0.203834
0.18075,0.204025
0.181,0.204216
0.18125,0.204407
0.1815,0.204597
0.18175,0.204788
0.182,0.204979
0.18225,0.20517
0.1825,0.205361
0.18275,0.205552
0.183,0.205743
0.18325,0.205933
0.1835,0.206124
0.18375,0.206315
0.184,0.206506
0.18425,0.206697
0.1845,0.206888
0.18475,0.207078
0.185,0.207269
0.18525,0.20746
0.1855,0.207651
0.18575,0.207842
0.186,0.208033
0.18625,0.208224
0.1865,0.208414
0.18675,0.208605
0.187,0.208796
0.18725,0.208987
0.1875,0.209178
0.18775,0.209369
0.188,0.209559
0.18825,0.20975
0.1885,0.209941
0.18875,0.210132
0.189,0.210323
0.18925,0.210514
0.1895,0.210705
0.18975,0.210895
0.19,0.211086
0.19025,0.211277
0.1905,0.211468
0.19075,0.211659
0.191,0.21185
0.19125,0.212041
0.1915,0.212231
0.19175,0.212422
0.192,0.212613
0.19225,0.212804
0.1925,0.212995
0.19275,0.213186
0.193,0.213376
0.19325,0.213567
0.1935,0.213758
0.19375,0.213949
0.194,0.21414
0.19425,0.214331
0.1945,0.214522
0.19475,0.214712
0.195,0.214903
0.19525,0.215094
0.1955,0.215285
0.19575,0.215476
0.196,0.215667
0.19625,0.215858
0.1965,0.216048
0.19675,0.216239
0.197,0.21643
0.19725,0.216621
0.1975,0.216812
0.19775,0.217003
0.198,0.217193
0.19825,0.217384
0.1985,0.217575
0.19875,0.217766
0.199,0.217957
0.19925,0.218148
0.1995,0.218339
0.19975,0.218529
0.2,0.21872
0.20025,0.218911
0.2005,0.219102
0.20075,0.219293
0.201,0.219484
0.20125,0.219674
0.2015,0.219865
0.20175,0.220056
0.202,0.220247
0.20225,0.220438
0.2025,0.220629
0.20275,0.22082
0.203,0.22101
0.20325,0.221201
0.2035,0.221392
0.20375,0.221583
0.204,0.221774
0.20425,0.221965
0.2045,0.222156
0.20475,0.222346
0.205,0.222537
0.20525,0.222728
0.2055,0.222919
0.20575,0.22311
0.206,0.223301
0.20625,0.223491
0.2065,0.223682
0.20675,0.223873
0.207,0.224064
0.20725,0.224255
0.2075,0.224446
0.20775,0.224637
0.208,0.224827
0.20825,0.225018
0.2085,0.225209
0.20875,0.2254
0.209,0.225591
0.20925,0.225782
0.2095,0.225973
0.20975,0.226163
0.21,0.226354
0.21025,0.226545
0.2105,0.226736
0.21075,0.226927
0.211,0.227118
0.21125,0.227308
0.2115,0.227499
0.21175,0.22769
0.212,0.227881
0.21225,0.228072
0.2125,0.228263
0.21275,0.228454
0.213,0.228644
0.21325,0.228835
0.2135,0.229026
0.21375,0.229217
0.214,0.229408
0.21425,0.229599
0.2145,0.229789
0.21475,0.22998
0.215,0.230171
0.21525,0.230362
0.2155,0.230553
0.21575,0.230744
0.216,0.230935
0.21625,0.231125
0.2165,0.231316
0.21675,0.231507
0.217,0.231698
0.21725,0.231889
0.2175,0.23208
0.21775,0.232271
0.218,0.232461
0.21825,0.232652
0.2185,0.232843
0.21875,0.233034
0.219,0.233225
0.21925,0.233416
0.2195,0.233606
0.21975,0.233797
0.22,0.233988
0.22025,0.234179
0.2205,0.23437
0.22075,0.234561
0.221,0.234752
0.22125,0.234942
0.2215,0.235133
0.22175,0.235324
0.222,0.235515
0.22225,0.235706
0.2225,0.235897
0.22275,0.236087
0.223,0.236278
0.22325,0.236469
0.2235,0.23666
0.22375,0.236851
0.224,0.237042
0.22425,0.237233
0.2245,0.237423
0.22475,0.237614
0.225,0.237805
0.22525,0.237996
0.2255,0.238187
0.22575,0.238378
0.226,0.238569
0.22625,0.238759
0.2265,0.23895
0.22675,0.239141
0.227,0.239332
0.22725,0.239523
0.2275,0.239714
0.22775,0.239904
0.228,0.240095
0.22825,0.240286
0.2285,0.240477
0.22875,0.240668
0.229,0.240859
0.22925,0.24105
0.2295,0.24124
0.22975,0.241431
0.23,0.241622
0.23025,0.241813
0.2305,0.242004
0.23075,0.242195
0.231,0.242386
0.23125,0.242576
0.2315,0.242767
0.23175,0.242958
0.232,0.243149
0.23225,0.24334
0.2325,0.243531
0.23275,0.243721
0.233,0.243912
0.23325,0.244103
0.2335,0.244294
0.23375,0.244485
0.234,0.244676
0.23425,0.244867
0.2345,0.245057
0.23475,0.245248
0.235,0.245439
0.23525,0.24563
0.2355,0.245821
0.23575,0.246012
0.236,0.246202
0.23625,0.246393
0.2365,0.246584
0.23675,0.246775
0.237,0.246966
0.23725,0.247157
0.2375,0.247348
0.23775,0.247538
0.238,0.247729
0.23825,0.24792
0.2385,0.248111
0.23875,0.248302
0.239,0.248493
0.23925,0.248684
0.2395,0.248874
0.23975,0.249065
0.24,0.249256
0.24025,0.249447
0.2405,0.249638
0.24075,0.249829
0.241,0.250019
0.24125,0.25021
0.2415,0.250401
0.24175,0.250592
0.242,0.250783
0.24225,0.250974
0.2425,0.251165
0.24275,0.251355
0.243,0.251546
0.24325,0.251737
0.2435,0.251928
0.24375,0.252119
0.244,0.25231
0.24425,0.252501
0.2445,0.252691
0.24475,0.252882
0.245,0.253073
0.24525,0.253264
0.2455,0.253455
0.24575,0.253646
0.246,0.253836
0.24625,0.254027
0.2465,0.254218
0.24675,0.254409
0.247,0.2546
0.24725,0.254791
0.2475,0.254982
0.24775,0.255172
0.248,0.255363
0.24825,0.255554
0.2485,0.255745
0.24875,0.255936
0.249,0.256127
0.24925,0.256317
0.2495,0.256508
0.24975,0.256694
0.25,0.25689
