Points_Magnitude,c
0.08175,0.66807
0.082,0.668158
0.08225,0.668246
0.0825,0.668334
0.08275,0.668422
0.083,0.66851
0.08325,0.668598
0.0835,0.668686
0.08375,0.668774
0.084,0.668862
0.08425,0.66895
0.0845,0.669038
0.08475,0.669126
0.085,0.669214
0.08525,0.669302
0.0855,0.66939
0.08575,0.669478
0.086,0.669566
0.08625,0.669654
0.0865,0.669742
0.08675,0.66983
0.087,0.669918
0.08725,0.670006
0.0875,0.670094
0.08775,0.670182
0.088,0.67027
0.08825,0.670358
0.0885,0.670446
0.08875,0.670534
0.089,0.670622
0.08925,0.67071
0.0895,0.670798
0.08975,0.670886
0.09,0.670974
0.09025,0.671062
0.0905,0.67115
0.09075,0.671238
0.091,0.671327
0.09125,0.671415
0.0915,0.671503
0.09175,0.671591
0.092,0.671679
0.09225,0.671767
0.0925,0.671855
0.09275,0.671943
0.093,0.672031
0.09325,0.672119
0.0935,0.672207
0.09375,0.672295
0.094,0.672383
0.09425,0.672471
0.0945,0.672559
0.09475,0.672647
0.095,0.672735
0.09525,0.672823
0.0955,0.672911
0.09575,0.672999
0.096,0.673087
0.09625,0.673175
0.0965,0.673263
0.09675,0.673351
0.097,0.673439
0.09725,0.673527
0.0975,0.673615
0.09775,0.673703
0.098,0.673791
0.09825,0.673879
0.0985,0.673967
0.09875,0.674055
0.099,0.674143
0.09925,0.674231
0.0995,0.674319
0.09975,0.674407
0.1,0.674495
0.10025,0.674583
0.1005,0.674671
0.10075,0.674759
0.101,0.674847
0.10125,0.674935
0.1015,0.675023
0.10175,0.675111
0.102,0.675199
0.10225,0.675287
0.1025,0.675375
0.10275,0.675463
0.103,0.675551
0.10325,0.675639
0.1035,0.675727
0.10375,0.675815
0.104,0.675903
0.10425,0.675992
0.1045,0.67608
0.10475,0.676168
0.105,0.676256
0.10525,0.676344
0.1055,0.676432
0.10575,0.67652
0.106,0.67662
0.10625,0.676718
0.1065,0.676816
0.10675,0.676914
0.107,0.677011
0.10725,0.677109
0.1075,0.677207
0.10775,0.677305
0.108,0.677403
0.10825,0.6775
0.1085,0.677598
0.10875,0.677696
0.109,0.677794
0.10925,0.677892
0.1095,0.67799
0.10975,0.678087
0.11,0.678185
0.11025,0.678283
0.1105,0.678381
0.11075,0.678507
0.111,0.678629
0.11125,0.67875
0.1115,0.678871
0.11175,0.678993
0.112,0.679114
0.11225,0.679235
0.1125,0.679357
0.11275,0.679478
0.113,0.679599
0.11325,0.67972
0.1135,0.679842
0.11375,0.679963
0.114,0.680084
0.11425,0.680206
0.1145,0.680327
0.11475,0.680448
0.115,0.680569
0.11525,0.680691
0.1155,0.680812
0.11575,0.680933
0.116,0.681055
0.11625,0.681176
0.1165,0.681297
0.11675,0.681418
0.117,0.68154
0.11725,0.681661
0.1175,0.681782
0.11775,0.681904
0.118,0.682025
0.11825,0.682146
0.1185,0.682268
0.11875,0.682389
0.119,0.68251
0.11925,0.682631
0.1195,0.682753
0.11975,0.682874
0.12,0.682995
0.12025,0.683117
0.1205,0.683238
0.12075,0.683359
0.121,0.68348
0.12125,0.683602
0.1215,0.683723
0.12175,0.683844
0.122,0.683966
0.12225,0.684087
0.1225,0.684208
0.12275,0.684329
0.123,0.684451
0.12325,0.684572
0.1235,0.684693
0.12375,0.684815
0.124,0.684936
0.12425,0.685057
0.1245,0.685179
0.12475,0.6853
0.125,0.685421
0.12525,0.685542
0.1255,0.685664
0.12575,0.685785
0.126,0.685906
0.12625,0.686028
0.1265,0.686186
0.12675,0.686403
0.127,0.686619
0.12725,0.686836
0.1275,0.687052
0.12775,0.687268
0.128,0.687485
0.12825,0.687701
0.1285,0.687917
0.12875,0.688134
0.129,0.68835
0.12925,0.688567
0.1295,0.688783
0.12975,0.688999
0.13,0.689216
0.13025,0.689432
0.1305,0.689648
0.13075,0.689865
0.131,0.690081
0.13125,0.690297
0.1315,0.690514
0.13175,0.69073
0.132,0.690947
0.13225,0.691163
0.1325,0.691379
0.13275,0.691596
0.133,0.691812
0.13325,0.692028
0.1335,0.692245
0.13375,0.692461
0.134,0.692678
0.13425,0.692894
0.1345,0.69311
0.13475,0.693327
0.135,0.693543
0.13525,0.693759
0.1355,0.693976
0.13575,0.694192
0.136,0.694408
0.13625,0.694625
0.1365,0.694841
0.13675,0.695058
0.137,0.695274
0.13725,0.69549
0.1375,0.695707
0.13775,0.695923
0.138,0.696139
0.13825,0.696356
0.1385,0.696572
0.13875,0.696789
0.139,0.697005
0.13925,0.697221
0.1395,0.697438
0.13975,0.697654
0.14,0.69787
0.14025,0.698087
0.1405,0.698303
0.14075,0.698519
0.141,0.698736
0.14125,0.698952
0.1415,0.699169
0.14175,0.699385
0.142,0.699601
0.14225,0.699818
0.1425,0.700034
0.14275,0.70025
0.143,0.700467
0.14325,0.700683
0.1435,0.7009
0.14375,0.701116
0.144,0.701332
0.14425,0.701549
0.1445,0.701765
0.14475,0.701981
0.145,0.702198
0.14525,0.702414
0.1455,0.70263
0.14575,0.702847
0.146,0.703063
0.14625,0.70328
0.1465,0.703496
0.14675,0.703712
0.147,0.703929
0.14725,0.704145
0.1475,0.704361
0.14775,0.704578
0.148,0.704794
0.14825,0.705011
0.1485,0.705227
0.14875,0.705443
0.149,0.70566
0.14925,0.705876
0.1495,0.706092
0.14975,0.706309
0.15,0.706525
0.15025,0.706741
0.1505,0.706958
0.15075,0.707174
0.151,0.707391
0.15125,0.707607
0.1515,0.707823
0.15175,0.70804
0.152,0.708256
0.15225,0.708472
0.1525,0.708689
0.15275,0.708905
0.153,0.709121
0.15325,0.709338
0.1535,0.709554
0.15375,0.709771
0.154,0.709987
0.15425,0.710203
0.1545,0.71042
0.15475,0.710636
0.155,0.710852
0.15525,0.711069
0.1555,0.711285
0.15575,0.711502
0.156,0.711718
0.15625,0.711934
0.1565,0.712151
0.15675,0.712367
0.157,0.712583
0.15725,0.7128
0.1575,0.713016
0.15775,0.713232
0.158,0.713449
0.15825,0.713665
0.1585,0.713882
0.15875,0.714098
0.159,0.714314
0.15925,0.714531
0.1595,0.714747
0.15975,0.714963
0.16,0.71518
0.16025,0.715396
0.1605,0.715613
0.16075,0.715829
0.161,0.716045
0.16125,0.716262
0.1615,0.716478
0.16175,0.716694
0.162,0.716911
0.16225,0.717127
0.1625,0.717343
0.16275,0.71756
0.163,0.717776
0.16325,0.717993
0.1635,0.718209
0.16375,0.718425
0.164,0.718642
0.16425,0.718858
0.1645,0.719074
0.16475,0.719291
0.165,0.719507
0.16525,0.719724
0.1655,0.71994
0.16575,0.720156
0.166,0.720373
0.16625,0.720589
0.1665,0.720805
0.16675,0.721022
0.167,0.721238
0.16725,0.721454
0.1675,0.721671
0.16775,0.721887
0.168,0.722104
0.16825,0.72232
0.1685,0.722536
0.16875,0.722753
0.169,0.722969
0.16925,0.723185
0.1695,0.723402
0.16975,0.723618
0.17,0.723835
0.17025,0.724051
0.1705,0.724267
0.17075,0.724484
0.171,0.7247
0.17125,0.724916
0.1715,0.725133
0.17175,0.725349
0.172,0.725565
0.17225,0.725782
0.1725,0.725998
0.17275,0.726215
0.173,0.726431
0.17325,0.726647
0.1735,0.726864
0.17375,0.72708
0.174,0.727296
0.17425,0.727513
0.1745,0.727729
0.17475,0.727946
0.175,0.728162
0.17525,0.728378
0.1755,0.728595
0.17575,0.728811
0.176,0.729027
