T,I,O
0.0,0.01139,0.0
1.0,0.01139,0.0
2.0,0.01139,0.0
3.0,0.01139,0.0
4.0,0.01139,0.0
5.0,0.01139,0.0
6.0,0.01139,0.0
7.0,0.01139,0.0
8.0,0.01139,0.0
9.0,0.01139,0.0
10.0,0.01139,0.0
11.0,0.01139,0.0
12.0,0.01139,0.0
13.0,0.01139,0.0
14.0,0.01139,0.0
15.0,0.01139,0.0
16.0,0.01139,0.0
17.0,0.01139,0.0
18.0,0.01139,0.0
19.0,0.01139,0.0
20.0,0.01139,0.0
21.0,0.01139,0.0
22.0,0.01139,0.0
23.0,0.01139,0.0
24.0,0.01139,0.0
25.0,0.01139,0.0
26.0,0.01139,0.0
27.0,0.01139,0.0
28.0,0.01139,0.0
29.0,0.01139,0.0
30.0,0.01139,0.0
31.0,0.01139,0.0
32.0,0.01139,0.0
33.0,0.01139,0.0
34.0,0.01139,0.0
35.0,0.01139,0.0
36.0,0.01139,0.0
37.0,0.01139,0.0
38.0,0.01139,0.0
39.0,0.01139,0.0
40.0,0.01139,0.0
41.0,0.01139,0.0
42.0,0.01139,0.0
43.0,0.01139,0.0
44.0,0.01139,0.0
45.0,0.01139,0.0
46.0,0.01139,0.0
47.0,0.01139,0.0
48.0,0.01139,0.0
49.0,0.01139,0.0
50.0,0.01139,0.0
51.0,0.01139,0.0
52.0,0.01139,0.0
53.0,0.01139,0.0
54.0,0.01139,0.0
55.0,0.01139,0.0
56.0,0.01139,0.0
57.0,0.01139,0.0
58.0,0.01139,0.0
59.0,0.01139,0.0
60.0,0.01139,0.0
61.0,0.01139,0.0
62.0,0.01139,0.0
63.0,0.01139,0.0
64.0,0.01139,0.0
65.0,0.01139,0.0
66.0,0.01139,0.0
67.0,0.01139,0.0
68.0,0.01139,0.0
69.0,0.01139,0.0
70.0,0.01139,0.0
71.0,0.01139,0.0
72.0,0.01139,0.0
73.0,0.01139,0.0
74.0,0.01139,0.0
75.0,0.01139,0.0
76.0,0.01139,0.0
77.0,0.01139,0.0
78.0,0.01139,0.0
79.0,0.01139,0.0
80.0,0.01139,0.0
81.0,0.01139,0.0
82.0,0.01139,0.0
83.0,0.01139,0.0
84.0,0.01139,0.0
85.0,0.01139,0.0
86.0,0.01139,0.0
87.0,0.01139,0.0
88.0,0.01139,0.0
89.0,0.01139,0.0
90.0,0.01139,0.0
91.0,0.01139,0.0
92.0,0.01139,0.0
93.0,0.01139,0.0
94.0,0.01139,0.0
95.0,0.01139,0.0
96.0,0.01139,0.0
97.0,0.01139,0.0
98.0,0.01139,0.0
99.0,0.01139,0.0
100.0,0.01139,0.0
101.0,0.01139,0.0
102.0,0.01139,0.0
103.0,0.01139,0.0
104.0,0.01139,0.0
105.0,0.01139,0.0
106.0,0.01139,0.0
107.0,0.01139,0.0
108.0,0.01139,0.0
109.0,0.01139,0.0
110.0,0.01139,0.0
111.0,0.01139,0.0
112.0,0.01139,0.0
113.0,0.01139,0.0
114.0,0.01139,0.0
115.0,0.01139,0.0
116.0,0.01139,0.0
117.0,0.01139,0.0
118.0,0.01139,0.0
119.0,0.01139,0.0
120.0,0.01139,0.0
121.0,0.01139,0.0
122.0,0.01139,0.0
123.0,0.01139,0.0
124.0,0.01139,0.0
125.0,0.01139,0.0
126.0,0.01139,0.0
127.0,0.01139,0.0
128.0,0.01139,0.0
129.0,0.01139,0.0
130.0,0.01139,0.0
131.0,0.01139,0.0
132.0,0.01139,0.0
133.0,0.0114,0.0
134.0,0.0114,0.0
135.0,0.0114,0.0
136.0,0.0114,0.0
137.0,0.0114,0.0
138.0,0.0114,0.0
139.0,0.0114,0.0
140.0,0.0114,0.0
141.0,0.0114,0.0
142.0,0.0114,0.0
143.0,0.0114,0.0
144.0,0.01141,0.0
145.0,0.01141,0.0
146.0,0.01141,0.0
147.0,0.01141,0.0
148.0,0.01141,0.0
149.0,0.01142,0.0
150.0,0.01142,0.0
151.0,0.01142,0.0
152.0,0.01143,0.0
153.0,0.01143,0.0
154.0,0.01143,0.0
155.0,0.01144,0.0
156.0,0.01144,0.0
157.0,0.01145,0.0
158.0,0.01146,0.0
159.0,0.01146,0.0
160.0,0.01147,0.0
161.0,0.01148,0.0
162.0,0.01149,0.0
163.0,0.0115,0.0
164.0,0.01151,0.0
165.0,0.01153,0.0
166.0,0.01154,0.0
167.0,0.01156,0.0
168.0,0.01158,0.0
169.0,0.01159,0.0
170.0,0.01162,0.0
171.0,0.01164,0.0
172.0,0.01167,0.0
173.0,0.0117,0.0
174.0,0.01173,0.0
175.0,0.01177,0.0
176.0,0.01181,0.0
177.0,0.01185,0.0
178.0,0.0119,0.0
179.0,0.01195,0.0
180.0,0.01201,0.0
181.0,0.01208,0.0
182.0,0.01215,0.0
183.0,0.01224,0.0
184.0,0.01233,0.0
185.0,0.01242,0.0
186.0,0.01253,0.0
187.0,0.01266,0.0
188.0,0.01279,0.0
189.0,0.01294,0.0
190.0,0.01311,0.0
191.0,0.01329,0.0
192.0,0.01349,0.0
193.0,0.01371,0.0
194.0,0.01396,0.0
195.0,0.01423,0.0
196.0,0.01453,0.0
197.0,0.01487,0.0
198.0,0.01524,0.0
199.0,0.01565,0.0
200.0,0.0161,0.0
201.0,0.0166,0.0
202.0,0.01715,0.0
203.0,0.01776,0.0
204.0,0.01843,0.0
205.0,0.01917,0.0
206.0,0.02,0.0
207.0,0.0209,0.0
208.0,0.02191,0.0
209.0,0.02301,0.0
210.0,0.02424,0.0
211.0,0.02559,0.0
212.0,0.02707,0.0
213.0,0.02872,0.0
214.0,0.03053,0.0
215.0,0.03252,0.0
216.0,0.03472,0.0
217.0,0.03714,0.0
218.0,0.0398,0.0
219.0,0.04274,0.0
220.0,0.04596,0.0
221.0,0.0495,0.0
222.0,0.05339,0.0
223.0,0.05765,0.0
224.0,0.06233,0.0
225.0,0.06745,0.0
226.0,0.07304,0.0
227.0,0.07916,0.0
228.0,0.08584,0.0
229.0,0.09312,0.0
230.0,0.10103,0.0
231.0,0.10963,0.0
232.0,0.11896,0.0
233.0,0.12906,0.0
234.0,0.13996,0.0
235.0,0.15171,0.0
236.0,0.16435,0.0
237.0,0.1779,0.0
238.0,0.19239,0.0
239.0,0.20784,0.0
240.0,0.22426,0.0
241.0,0.24165,0.0
242.0,0.26001,0.0
243.0,0.27932,0.0
244.0,0.29954,0.0
245.0,0.32063,0.0
246.0,0.34253,0.0
247.0,0.36518,0.0
248.0,0.38848,0.0
249.0,0.41235,0.0
250.0,0.43668,0.0
251.0,0.46135,0.0
252.0,0.48625,0.0
253.0,0.51124,0.0
254.0,0.5362,0.0
255.0,0.56101,0.0
256.0,0.58553,0.0
257.0,0.60966,0.0
258.0,0.63327,0.0
259.0,0.65628,0.0
260.0,0.67858,0.0
261.0,0.70011,0.0
262.0,0.72079,0.0
263.0,0.74058,0.0
264.0,0.75944,0.0
265.0,0.77734,0.0
266.0,0.79428,0.0
267.0,0.81024,0.0
268.0,0.82523,0.0
269.0,0.83927,0.0
270.0,0.85239,0.0
271.0,0.8646,0.0
272.0,0.87595,0.0
273.0,0.88646,0.0
274.0,0.89619,0.0
275.0,0.90517,0.0
276.0,0.91344,0.0
277.0,0.92105,0.0
278.0,0.92803,0.0
279.0,0.93444,0.0
280.0,0.94031,0.0
281.0,0.94568,0.0
282.0,0.95058,0.0
283.0,0.95506,0.0
284.0,0.95914,0.0
285.0,0.96286,0.0
286.0,0.96625,0.0
287.0,0.96933,0.0
288.0,0.97213,0.0
289.0,0.97468,0.0
290.0,0.97699,0.0
291.0,0.97909,0.0
292.0,0.98099,0.0
293.0,0.98272,0.0
294.0,0.98429,0.0
295.0,0.98571,0.0
296.0,0.987,0.0
297.0,0.98816,0.0
298.0,0.98922,0.0
299.0,0.99018,0.0
300.0,0.99104,0.0
301.0,0.99183,0.0
302.0,0.99254,0.0
303.0,0.99318,0.0
304.0,0.99376,0.0
305.0,0.99429,0.0
306.0,0.99476,0.0
307.0,0.99519,0.0
308.0,0.99558,0.0
309.0,0.99593,0.0
310.0,0.99625,0.0
311.0,0.99654,0.0
312.0,0.9968,0.0
313.0,0.99704,0.0
314.0,0.99725,0.0
315.0,0.99744,0.0
316.0,0.99761,0.0
317.0,0.99777,0.0
318.0,0.99791,0.0
319.0,0.99804,0.0
320.0,0.99816,0.0
321.0,0.99826,0.0
322.0,0.99836,0.0
323.0,0.99844,0.0
324.0,0.99852,0.0
325.0,0.99859,0.0
326.0,0.99866,0.0
327.0,0.99871,0.0
328.0,0.99876,0.0
329.0,0.99881,0.0
330.0,0.99885,0.0
331.0,0.99889,0.0
332.0,0.99893,0.0
333.0,0.99896,0.0
334.0,0.99899,0.0
335.0,0.99901,0.0
336.0,0.99903,0.0
337.0,0.99905,0.0
338.0,0.99907,0.0
339.0,0.99909,0.0
340.0,0.99911,0.0
