T,I,O
0,1.51e-5,0.0041
1,1.53e-5,0.004175
2,1.56e-5,0.00425
3,1.59e-5,0.004095
4,1.62e-5,0.00394
5,1.65e-5,0.0038599999999999997
6,1.68e-5,0.00378
7,1.72e-5,0.0036249999999999998
8,1.75e-5,0.00347
9,1.79e-5,0.003545
10,1.83e-5,0.00362
11,1.87e-5,0.0037
12,1.92e-5,0.00378
13,1.96e-5,0.00378
14,2.01e-5,0.00378
15,2.06e-5,0.0038599999999999997
16,2.11e-5,0.00394
17,2.17e-5,0.00331
18,2.23e-5,0.00268
19,2.29e-5,0.0029950000000000003
20,2.36e-5,0.00331
21,2.42e-5,0.003465
22,2.5e-5,0.00362
23,2.57e-5,0.003385
24,2.65e-5,0.00315
25,2.73e-5,0.00331
26,2.82e-5,0.00347
27,2.91e-5,0.0032300000000000002
28,3.01e-5,0.00299
29,3.11e-5,0.00299
30,3.22e-5,0.00299
31,3.33e-5,0.00315
32,3.44e-5,0.00331
33,3.57e-5,0.0032300000000000002
34,3.7e-5,0.00315
35,3.83e-5,0.00315
36,3.98e-5,0.00315
37,4.13e-5,0.0029950000000000003
38,4.28e-5,0.00284
39,4.45e-5,0.0029950000000000003
40,4.62e-5,0.00315
41,4.8e-5,0.002915
42,4.99e-5,0.00268
43,5.2e-5,0.00268
44,5.41e-5,0.00268
45,5.63e-5,0.0027600000000000003
46,5.86e-5,0.00284
47,6.11e-5,0.00284
48,6.36e-5,0.00284
49,6.63e-5,0.00284
50,6.92e-5,0.00284
51,7.21e-5,0.00284
52,7.53e-5,0.00284
53,7.85e-5,0.00284
54,8.2e-5,0.00284
55,8.56e-5,0.00268
56,8.94e-5,0.00252
57,9.34e-5,0.00268
58,9.76e-5,0.00284
59,0.000102,0.00284
60,0.000107,0.00284
61,0.000112,0.00268
62,0.000117,0.00252
63,0.000122,0.0026
64,0.000128,0.00268
65,0.000134,0.0026
66,0.00014,0.00252
67,0.000146,0.0026
68,0.000153,0.00268
69,0.00016,0.00268
70,0.000168,0.00268
71,0.000176,0.00252
72,0.000184,0.00236
73,0.000193,0.00252
74,0.000202,0.00268
75,0.000212,0.0026
76,0.000222,0.00252
77,0.000233,0.0026
78,0.000244,0.00268
79,0.000256,0.002365
80,0.000268,0.00205
81,0.000281,0.0026
82,0.000295,0.00315
83,0.000309,0.002835
84,0.000324,0.00252
85,0.00034,0.0024400000000000003
86,0.000356,0.00236
87,0.000374,0.002285
88,0.000392,0.00221
89,0.000411,0.00221
90,0.000431,0.00221
91,0.000453,0.00205
92,0.000475,0.00189
93,0.000498,0.00197
94,0.000523,0.00205
95,0.000549,0.0018900000000000002
96,0.000576,0.00173
97,0.000604,0.002285
98,0.000634,0.00284
99,0.000666,0.00221
100,0.000698,0.00158
101,0.000733,0.00197
102,0.000769,0.00236
103,0.000808,0.00252
104,0.000848,0.00268
105,0.00089,0.0026
106,0.000934,0.00252
107,0.000981,0.00205
108,0.001029,0.00158
109,0.001081,0.00197
110,0.001134,0.00236
111,0.001191,0.002045
112,0.00125,0.00173
113,0.001313,0.00173
114,0.001378,0.00173
115,0.001447,0.00181
116,0.001519,0.00189
117,0.001595,0.001735
118,0.001674,0.00158
119,0.001758,0.001655
120,0.001846,0.00173
121,0.001938,0.00181
122,0.002035,0.00189
123,0.002137,0.001655
124,0.002243,0.00142
125,0.002355,0.001575
126,0.002473,0.00173
127,0.002597,0.001575
128,0.002727,0.00142
129,0.002863,0.001575
130,0.003006,0.00173
131,0.003156,0.002045
132,0.003314,0.00236
133,0.00348,0.002045
134,0.003654,0.00173
135,0.003836,0.001575
136,0.004028,0.00142
137,0.004229,0.00142
138,0.004441,0.00142
139,0.004663,0.00134
140,0.004896,0.00126
141,0.00514,0.00118
142,0.005397,0.0011
143,0.005667,0.0011
144,0.005949,0.0011
145,0.006246,0.00134
146,0.006558,0.00158
147,0.006885,0.00158
148,0.007229,0.00158
149,0.007589,0.0015
150,0.007968,0.00142
151,0.008365,0.00142
152,0.008781,0.00142
153,0.009218,0.0018150000000000002
154,0.009677,0.00221
155,0.010159,0.00205
156,0.010664,0.00189
157,0.011194,0.001495
158,0.01175,0.0011
159,0.012333,0.0011
160,0.012945,0.0011
161,0.013587,0.0011
162,0.014261,0.0011
163,0.014967,0.0011
164,0.015707,0.0011
165,0.016484,0.00126
166,0.017298,0.00142
167,0.018152,0.00126
168,0.019048,0.0011
169,0.019986,0.00118
170,0.02097,0.00126
171,0.022001,0.001495
172,0.023081,0.00173
173,0.024214,0.001415
174,0.0254,0.0011
175,0.026643,0.00134
176,0.027945,0.00158
177,0.029309,0.00158
178,0.030737,0.00158
179,0.032233,0.0015
180,0.033799,0.00142
181,0.035437,0.00142
182,0.037153,0.00142
183,0.038948,0.0018150000000000002
184,0.040825,0.00221
185,0.04279,0.00205
186,0.044844,0.00189
187,0.046992,0.001495
188,0.049238,0.0011
189,0.051585,0.0011
190,0.054037,0.0011
191,0.056599,0.0011
