% # columns="iteration, evaluation, void, void, void, xmean", seed=286110, Fri Apr 17 23:17:41 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 8 0 0 0 -0.014237648579869346 31.03248800851787
2 16 0 0 0 -0.015407986856907521 31.032598966365097
3 24 0 0 0 -0.015319695725520988 31.03269929086746
4 32 0 0 0 -0.01663103543009087 31.03316434970367
5 40 0 0 0 -0.01739312010031972 31.03343962769986
6 48 0 0 0 -0.01749960551054934 31.03241093162636
7 56 0 0 0 -0.017291295221479965 31.03116832796905
8 64 0 0 0 -0.01762257900001597 31.030151798083477
9 72 0 0 0 -0.01751632278565011 31.02970158763458
10 80 0 0 0 -0.017586645197205757 31.027174736452288
11 88 0 0 0 -0.01767746818345972 31.025731673613418
12 96 0 0 0 -0.01779445367368594 31.022156003504854
13 104 0 0 0 -0.017229794111141356 31.013147688616122
14 112 0 0 0 -0.016831112923398926 31.016056491121827
15 120 0 0 0 -0.01765482402798668 31.015993039035653
16 128 0 0 0 -0.01789461986709697 31.00841698777529
17 136 0 0 0 -0.01809204270850114 31.001003026042632
18 144 0 0 0 -0.01717751908978791 30.995300584781045
19 152 0 0 0 -0.017536586587523068 30.98791714329259
20 160 0 0 0 -0.01752871046510247 30.975288927188537
21 168 0 0 0 -0.017317412994375007 30.944650600789046
22 176 0 0 0 -0.017853937977885946 30.89859684248477
23 184 0 0 0 -0.01758758078311184 30.79303851224012
24 192 0 0 0 -0.014714031122561715 30.700245523871192
25 200 0 0 0 -0.01748517395662133 30.5798500365656
26 208 0 0 0 -0.014423432121501661 30.378985919688507
27 216 0 0 0 -0.012571262568686056 30.20147383303719
28 224 0 0 0 -0.01438590161729219 29.881537026529344
29 232 0 0 0 -0.014194855421339804 29.55823632535425
30 240 0 0 0 -0.014321346303031779 29.02435161838304
31 248 0 0 0 -0.011818832771982831 28.554699910983317
