% # columns="iteration, evaluation, void, void, void, xmean", seed=332071, Tue Apr  7 11:43:05 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 4.669883181675897 -0.8405486900647974
14 84 0 0 0 -4.298832964647628e-09 0.09999998811763733
2 12 0 0 0 -0.1100094432855192 -0.6161021677785449
3 18 0 0 0 -8.12353724928252 0.6806985874928851
15 90 0 0 0 -4.059902603691811e-09 0.09999998885907943
4 24 0 0 0 4.8168071590269435 -1.1802051327859635
16 96 0 0 0 -3.93333424158949e-09 0.09999998577067143
5 30 0 0 0 9.935901269836371 -0.1423279249507472
6 36 0 0 0 20.567047626364992 -0.9913128725548275
17 102 0 0 0 -6.182104769146873e-09 0.09999997996370885
7 42 0 0 0 35.126275674126894 -0.526889031029954
8 48 0 0 0 23.56057622886137 0.2747947950942585
18 108 0 0 0 -7.120384839054853e-09 0.09999997492685134
9 54 0 0 0 29.63939617852941 2.1619744060333264
19 114 0 0 0 -1.245969708604027e-08 0.09999996464138575
10 60 0 0 0 47.163391276842304 0.7595147585489661
11 66 0 0 0 67.93021024097273 0.33588406709293234
12 72 0 0 0 69.20960587342805 -0.13018267034879466
13 78 0 0 0 56.176517842258214 0.21711316329255959
14 84 0 0 0 61.612089165600736 0.006822634004677586
15 90 0 0 0 66.02524580478814 0.12847640084120907
16 96 0 0 0 74.11271689515164 -0.2352432299054988
17 102 0 0 0 58.899232874309504 0.08496890352117106
18 108 0 0 0 71.95284788259346 0.06024247184489531
19 114 0 0 0 49.41178671506778 -0.023095537758634307
20 120 0 0 0 59.24794258853951 0.004860719547333588
21 126 0 0 0 58.8498091274341 -0.05598094351853289
22 132 0 0 0 72.30330464760787 -0.027135916426113446
23 138 0 0 0 71.69659563533702 -0.05040750414363506
24 144 0 0 0 68.07775822647523 -0.04683620197475684
25 150 0 0 0 72.87009866657903 -0.0387681435425349
26 156 0 0 0 70.69144660562401 -0.04579551373194874
27 162 0 0 0 70.53608992037549 -0.045614269173522674
28 168 0 0 0 69.10404800927336 -0.04385169539216808
29 174 0 0 0 67.28791193330488 -0.0469017513690203
30 180 0 0 0 68.959296585726 -0.048640499975786775
31 186 0 0 0 67.21778606805317 -0.04874712246831069
32 192 0 0 0 66.29928517298174 -0.0501990391066635
33 198 0 0 0 66.42699038979357 -0.049499776372165336
34 204 0 0 0 65.25530344403354 -0.050387908420469814
