% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=332071, Tue Apr  7 11:43:05 2020, <python>{}</python>
1 6 8.099900770308466 1.0000250003125026 314.67108138108495 3.1467108138108495e+02 659.6959423241186 659.9677985212628   
14 84 3.137673079450692e-09 3.288817023434407 660.0132175479805 6.6001321754798050e+02 660.0132176155337 660.0132176297224   
2 12 6.754426487207572 1.12511713103863 63.257458019850546 6.3257458019850546e+01 536.3936271795146 660.0430632588341   
3 18 8.163720971975215 1.3777910957512676 63.257458019850546 1.7008007627652538e+02 632.911898094827 659.7439708430632   
15 90 2.7942569661184738e-09 3.7892555798257823 660.0132175479805 6.6001321755447293e+02 660.0132175853419 660.0132175973529   
4 24 7.5665251362920385 1.8902679089224421 63.257458019850546 2.1833712989820225e+02 647.406488462584 660.0691348389171   
16 96 3.1154195734906554e-09 3.597171839215581 660.0132175380895 6.6001321753808952e+02 660.0132175428471 660.0132175927147   
5 30 7.237988774643673 2.633093410042847 63.257458019850546 1.9475269868324088e+02 650.1110653792423 660.0290968332394   
6 36 8.532851335044441 3.322221181177821 63.257458019850546 2.1136289553386209e+02 424.4462032023622 652.1233025101812   
17 102 3.85999669043144e-09 3.3215662462681115 660.0132174909816 6.6001321749098156e+02 660.0132175267744 660.0132176222742   
7 42 11.228896703836133 4.449992755303998 63.257458019850546 2.7139447634070086e+02 540.9465518345461 654.9367397152007   
8 48 9.150158122330616 6.641905512859697 63.257458019850546 7.1333714077769230e+01 609.7328644151986 657.9264013353283   
18 108 4.541217045844288e-09 3.9792434562668526 660.0132174594177 6.6001321745941766e+02 660.0132175004665 660.0132176098392   
9 54 9.400718430525586 7.0007562997916395 63.257458019850546 5.1691194168196171e+02 567.522080560301 639.7358111033129   
19 114 6.569444667694125e-09 4.349175878165815 660.013217361932 6.6001321736193199e+02 660.0132174682922 660.0132175243081   
10 60 10.169609267577478 7.430023777717117 61.02203790844723 6.1022037908447231e+01 590.6029211343279 658.1926012504073   
11 66 12.274162778187392 9.463242900683266 61.02203790844723 2.6885080767752919e+02 578.4252682828326 636.402330616103   
12 72 11.128435520407267 15.357782833630813 60.324891786682684 6.0324891786682684e+01 269.57183270697925 621.3817618339714   
13 78 8.179887633817641 19.93869566986168 60.324891786682684 7.7466372934039612e+01 221.68674002835073 602.7788654038412   
14 84 6.255113032631298 23.045508859451566 60.324891786682684 6.0342219243267763e+01 251.6777575506759 368.4805791030898   
15 90 5.073944085059086 23.763608915441257 60.324891786682684 7.6562234852931624e+01 130.0951344436864 264.74696932645065   
16 96 5.280020907266289 29.07612543754379 60.324891786682684 8.0037765954771828e+01 124.89806221603511 206.41957522500064   
17 102 4.878451855384227 37.14307315729637 60.324891786682684 6.7240856638830522e+01 142.0891190528345 219.43228472836736   
18 108 4.581511184462482 51.50173500483171 60.324891786682684 6.2802425334459684e+01 83.23786879507506 228.38411351788403   
19 114 6.010712981012777 60.7540787655999 60.324891786682684 6.0410760040900698e+01 68.29480044023703 112.83323661483223   
20 120 4.656156878816087 83.49514709202256 60.324891786682684 6.0389582172143371e+01 114.3248799706256 157.76140559554352   
21 126 3.8784756200075705 105.26914236383405 60.30724851543108 6.0307248515431077e+01 65.66589231909201 102.94324338076476   
22 132 3.841995235363079 120.64738575602911 60.30724851543108 6.0409092142713732e+01 60.78192453481634 71.29033863040172   
23 138 3.1348960173618177 170.7430091606251 60.30724851543108 6.0416377496597526e+01 61.17930284547204 62.49358160594822   
24 144 2.310379127322111 180.8827897425469 60.30161151286283 6.0301611512862827e+01 60.39135829292267 60.742020394942266   
25 150 1.9742375117522943 184.39567731617876 60.29895537835193 6.0298955378351927e+01 60.998598964702566 61.54949623563271   
26 156 1.4720023020793567 232.6287769563071 60.29759092861914 6.0297590928619137e+01 60.382130463080316 60.813211171748385   
27 162 1.058021473580719 266.5383542316278 60.29759092861914 6.0302135922100859e+01 60.317412749148865 60.397654040314336   
28 168 0.8977590745566335 289.7405696490882 60.29759092861914 6.0301814706682677e+01 60.35179242844133 60.40692874998395   
29 174 0.8739724746006279 382.27133846773955 60.29759092861914 6.0305913663847278e+01 60.32913371456766 60.337398573131786   
30 180 0.7282313847962286 430.9444175322146 60.29745584141312 6.0297455841413118e+01 60.30640534088973 60.31808662320048   
31 186 0.6437266684258918 513.230066682667 60.29730627950124 6.0297306279501242e+01 60.3003772043437 60.3031511074176   
32 192 0.6010195177641785 663.8836902986266 60.297284433217506 6.0297284433217506e+01 60.29785814261821 60.30239009187459   
33 198 0.4589115951885904 799.2296347264622 60.297284433217506 6.0297295679844993e+01 60.297718886466434 60.297766471769535   
34 204 0.4435603953015528 992.6700762245474 60.297284433217506 6.0297308669121094e+01 60.29766629883971 60.2989586199203   
